date,starttime,endtime,pricepermwh
2017-10-14,00:00,01:00,27.41
2017-10-14,01:00,02:00,26.40
2017-10-14,02:00,03:00,26.17
2017-10-14,03:00,04:00,26.10
2017-10-14,04:00,05:00,28.00
2017-10-14,05:00,06:00,33.99
2017-10-14,06:00,07:00,39.42
2017-10-14,07:00,08:00,35.95
2017-10-14,08:00,09:00,28.04
2017-10-14,09:00,10:00,22.86
2017-10-14,10:00,11:00,26.07
2017-10-14,11:00,12:00,12.67
2017-10-14,12:00,13:00,13.31
2017-10-14,13:00,14:00,26.42
2017-10-14,14:00,15:00,31.44
2017-10-14,15:00,16:00,40.02
2017-10-14,16:00,17:00,49.71
2017-10-14,17:00,18:00,52.51
2017-10-14,18:00,19:00,43.97
2017-10-14,19:00,20:00,40.03
2017-10-14,20:00,21:00,39.07
2017-10-14,21:00,22:00,31.43
2017-10-14,22:00,23:00,34.26
2017-10-14,23:00,00:00,31.56
