Timestamp,Power
01.01.2017 00:00 - 01.01.2017 00:15,89.41795043
01.01.2017 00:15 - 01.01.2017 00:30,14.10382169
01.01.2017 00:30 - 01.01.2017 00:45,65.64360964
01.01.2017 00:45 - 01.01.2017 01:00,77.4310628
01.01.2017 01:00 - 01.01.2017 01:15,0.865507492
01.01.2017 01:15 - 01.01.2017 01:30,66.87970449
01.01.2017 01:30 - 01.01.2017 01:45,52.47041932
01.01.2017 01:45 - 01.01.2017 02:00,51.41051425
01.01.2017 02:00 - 01.01.2017 02:15,5.847056223
01.01.2017 02:15 - 01.01.2017 02:30,3.437039554
01.01.2017 02:30 - 01.01.2017 02:45,84.95232146
01.01.2017 02:45 - 01.01.2017 03:00,67.42931456
01.01.2017 03:00 - 01.01.2017 03:15,33.72049495
01.01.2017 03:15 - 01.01.2017 03:30,12.21651897
01.01.2017 03:30 - 01.01.2017 03:45,72.10309191
01.01.2017 03:45 - 01.01.2017 04:00,15.90726446
01.01.2017 04:00 - 01.01.2017 04:15,79.81010551
01.01.2017 04:15 - 01.01.2017 04:30,98.9993356
01.01.2017 04:30 - 01.01.2017 04:45,65.92722532
01.01.2017 04:45 - 01.01.2017 05:00,33.68393785
01.01.2017 05:00 - 01.01.2017 05:15,3.68061275
01.01.2017 05:15 - 01.01.2017 05:30,17.6395565
01.01.2017 05:30 - 01.01.2017 05:45,48.15080608
01.01.2017 05:45 - 01.01.2017 06:00,10.12899847
01.01.2017 06:00 - 01.01.2017 06:15,27.38493337
01.01.2017 06:15 - 01.01.2017 06:30,40.65452428
01.01.2017 06:30 - 01.01.2017 06:45,30.011737
01.01.2017 06:45 - 01.01.2017 07:00,3.898621074
01.01.2017 07:00 - 01.01.2017 07:15,27.5224159
01.01.2017 07:15 - 01.01.2017 07:30,96.83491494
01.01.2017 07:30 - 01.01.2017 07:45,89.57293327
01.01.2017 07:45 - 01.01.2017 08:00,40.83304327
01.01.2017 08:00 - 01.01.2017 08:15,43.8469676
01.01.2017 08:15 - 01.01.2017 08:30,64.71317103
01.01.2017 08:30 - 01.01.2017 08:45,78.85936
01.01.2017 08:45 - 01.01.2017 09:00,44.19015549
