Timestamp,Price
01.01.2017 00:00 - 01.01.2017 00:15,33.7
01.01.2017 00:15 - 01.01.2017 00:30,27.1
01.01.2017 00:30 - 01.01.2017 00:45,25.19
01.01.2017 00:45 - 01.01.2017 01:00,14
01.01.2017 01:00 - 01.01.2017 01:15,36.6
01.01.2017 01:15 - 01.01.2017 01:30,31.43
01.01.2017 01:30 - 01.01.2017 01:45,21.29
01.01.2017 01:45 - 01.01.2017 02:00,15.7
01.01.2017 02:00 - 01.01.2017 02:15,36.3
01.01.2017 02:15 - 01.01.2017 02:30,30
01.01.2017 02:30 - 01.01.2017 02:45,19.69
01.01.2017 02:45 - 01.01.2017 03:00,12
01.01.2017 03:00 - 01.01.2017 03:15,24.9
01.01.2017 03:15 - 01.01.2017 03:30,24.78
01.01.2017 03:30 - 01.01.2017 03:45,19.4
01.01.2017 03:45 - 01.01.2017 04:00,12.91
01.01.2017 04:00 - 01.01.2017 04:15,24.94
01.01.2017 04:15 - 01.01.2017 04:30,21.01
01.01.2017 04:30 - 01.01.2017 04:45,20.7
01.01.2017 04:45 - 01.01.2017 05:00,15.34
01.01.2017 05:00 - 01.01.2017 05:15,16.45
01.01.2017 05:15 - 01.01.2017 05:30,21.92
01.01.2017 05:30 - 01.01.2017 05:45,13.34
01.01.2017 05:45 - 01.01.2017 06:00,23.61
01.01.2017 06:00 - 01.01.2017 06:15,12
01.01.2017 06:15 - 01.01.2017 06:30,15.14
01.01.2017 06:30 - 01.01.2017 06:45,17.03
01.01.2017 06:45 - 01.01.2017 07:00,16.66
01.01.2017 07:00 - 01.01.2017 07:15,2.94
01.01.2017 07:15 - 01.01.2017 07:30,17.54
01.01.2017 07:30 - 01.01.2017 07:45,17.4
01.01.2017 07:45 - 01.01.2017 08:00,20
01.01.2017 08:00 - 01.01.2017 08:15,11
01.01.2017 08:15 - 01.01.2017 08:30,13.24
01.01.2017 08:30 - 01.01.2017 08:45,16.59
01.01.2017 08:45 - 01.01.2017 09:00,29.5
01.01.2017 09:00 - 01.01.2017 09:15,11.3
01.01.2017 09:15 - 01.01.2017 09:30,18.2
01.01.2017 09:30 - 01.01.2017 09:45,21.5
01.01.2017 09:45 - 01.01.2017 10:00,29.3
01.01.2017 10:00 - 01.01.2017 10:15,13.52
01.01.2017 10:15 - 01.01.2017 10:30,16
01.01.2017 10:30 - 01.01.2017 10:45,23.3
01.01.2017 10:45 - 01.01.2017 11:00,30
01.01.2017 11:00 - 01.01.2017 11:15,13.2
01.01.2017 11:15 - 01.01.2017 11:30,19
01.01.2017 11:30 - 01.01.2017 11:45,29.3
01.01.2017 11:45 - 01.01.2017 12:00,29.94
01.01.2017 12:00 - 01.01.2017 12:15,30.08
01.01.2017 12:15 - 01.01.2017 12:30,26.32
01.01.2017 12:30 - 01.01.2017 12:45,17.83
01.01.2017 12:45 - 01.01.2017 13:00,12.36
01.01.2017 13:00 - 01.01.2017 13:15,27.74
01.01.2017 13:15 - 01.01.2017 13:30,24.4
01.01.2017 13:30 - 01.01.2017 13:45,13.61
01.01.2017 13:45 - 01.01.2017 14:00,14.67
01.01.2017 14:00 - 01.01.2017 14:15,27.32
01.01.2017 14:15 - 01.01.2017 14:30,20.72
01.01.2017 14:30 - 01.01.2017 14:45,17.6
01.01.2017 14:45 - 01.01.2017 15:00,15.56
01.01.2017 15:00 - 01.01.2017 15:15,17.88
01.01.2017 15:15 - 01.01.2017 15:30,21.4
01.01.2017 15:30 - 01.01.2017 15:45,27.71
01.01.2017 15:45 - 01.01.2017 16:00,27
01.01.2017 16:00 - 01.01.2017 16:15,14.6
01.01.2017 16:15 - 01.01.2017 16:30,24.3
01.01.2017 16:30 - 01.01.2017 16:45,38.68
01.01.2017 16:45 - 01.01.2017 17:00,48.4
01.01.2017 17:00 - 01.01.2017 17:15,26.4
01.01.2017 17:15 - 01.01.2017 17:30,33
01.01.2017 17:30 - 01.01.2017 17:45,44.77
01.01.2017 17:45 - 01.01.2017 18:00,48.07
01.01.2017 18:00 - 01.01.2017 18:15,35
01.01.2017 18:15 - 01.01.2017 18:30,33.88
01.01.2017 18:30 - 01.01.2017 18:45,43.21
01.01.2017 18:45 - 01.01.2017 19:00,41.9
01.01.2017 19:00 - 01.01.2017 19:15,36.2
01.01.2017 19:15 - 01.01.2017 19:30,38.57
01.01.2017 19:30 - 01.01.2017 19:45,37
01.01.2017 19:45 - 01.01.2017 20:00,38.21
01.01.2017 20:00 - 01.01.2017 20:15,44.87
01.01.2017 20:15 - 01.01.2017 20:30,39
01.01.2017 20:30 - 01.01.2017 20:45,29.1
01.01.2017 20:45 - 01.01.2017 21:00,14.14
01.01.2017 21:00 - 01.01.2017 21:15,36.37
01.01.2017 21:15 - 01.01.2017 21:30,29.5
01.01.2017 21:30 - 01.01.2017 21:45,27.8
01.01.2017 21:45 - 01.01.2017 22:00,28.3
01.01.2017 22:00 - 01.01.2017 22:15,40
01.01.2017 22:15 - 01.01.2017 22:30,38.2
01.01.2017 22:30 - 01.01.2017 22:45,26.39
01.01.2017 22:45 - 01.01.2017 23:00,18.4
01.01.2017 23:00 - 01.01.2017 23:15,41.02
01.01.2017 23:15 - 01.01.2017 23:30,34.7
01.01.2017 23:30 - 01.01.2017 23:45,13.88
01.01.2017 23:45 - 02.01.2017 00:00,4.4
02.01.2017 00:00 - 02.01.2017 00:15,47
02.01.2017 00:15 - 02.01.2017 00:30,30.58
02.01.2017 00:30 - 02.01.2017 00:45,19.6
02.01.2017 00:45 - 02.01.2017 01:00,6.4
02.01.2017 01:00 - 02.01.2017 01:15,35.34
02.01.2017 01:15 - 02.01.2017 01:30,24.47
02.01.2017 01:30 - 02.01.2017 01:45,21.3
02.01.2017 01:45 - 02.01.2017 02:00,13.7
02.01.2017 02:00 - 02.01.2017 02:15,26.35
02.01.2017 02:15 - 02.01.2017 02:30,25.92
02.01.2017 02:30 - 02.01.2017 02:45,20.3
02.01.2017 02:45 - 02.01.2017 03:00,19.63
02.01.2017 03:00 - 02.01.2017 03:15,20.78
02.01.2017 03:15 - 02.01.2017 03:30,20.19
02.01.2017 03:30 - 02.01.2017 03:45,22.6
02.01.2017 03:45 - 02.01.2017 04:00,24.7
02.01.2017 04:00 - 02.01.2017 04:15,13.8
02.01.2017 04:15 - 02.01.2017 04:30,17.98
02.01.2017 04:30 - 02.01.2017 04:45,30.5
02.01.2017 04:45 - 02.01.2017 05:00,33.92
02.01.2017 05:00 - 02.01.2017 05:15,1.69
02.01.2017 05:15 - 02.01.2017 05:30,14.5
02.01.2017 05:30 - 02.01.2017 05:45,35.41
02.01.2017 05:45 - 02.01.2017 06:00,56
02.01.2017 06:00 - 02.01.2017 06:15,-6
02.01.2017 06:15 - 02.01.2017 06:30,23
02.01.2017 06:30 - 02.01.2017 06:45,52.08
02.01.2017 06:45 - 02.01.2017 07:00,64.22
